scenario,run #,output dollar year,target station capacity (kg/day),target number of stations,one-way delivery distance (mile),electricity cost ($/kWh),diesel cost ($/gallon),electricity emission factor (kg CO2/kWh),diesel emission factor (kg CO2/gallon),hydrogen prod. emission factor (kg CO2-eq/kg),formic acid prod. emission factor (kg CO2-eq/kg),hydrogen purchase cost ($/kg),formic acid purchase cost ($/kg),formic acid production pathway,hydr. reaction temperature (K),hydr. reaction pressure (bar),hydr. reaction yield,hydr. reactor volume (m^3),number of hydr. reactors,hydr. catalyst amount (kg),hydr. catalyst cost ($/kg),hydr. catalyst lifetime (yr),hydr. reactor energy (unit TBD),hydr. separator energy (unit TBD),CO2 electrolyzer purchase cost ($/m^2),terminal formic acid storage amount (days),terminal compressed hydrogen storage amount (days),terminal liquid hydrogen storage amount (days),dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reaction yield,dehydr. reactor volume (m^3),number of dehydr. reactors,dehydr. catalyst amount (kg),dehydr. catalyst cost ($/kg),dehydr. catalyst lifetime (yr),dehydr. reactor energy (unit TBD),dehydr. gas/liquid separator energy (unit TBD),station formic acid storage amount (days),pathway,process,function,total emissions (kg CO2-eq/kg H2)
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,preconditioning,pumping,0.0
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,production,CO2 recycling,0.0
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,production,compression,0.0
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,production,purchase,0.0
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,production,reaction,7.699788001286901
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,reconditioning,compression,0.5674464353602425
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,reconditioning,cooling,0.081692871730761
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,reconditioning,pumping,0.0
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,reconditioning,reaction,0.0
baseline,0,2022.0,1000.0,10.0,100.0,0.1709,6.028,0.228,10.18,0.0,0.0,0.31,0.0,electro,366.15,105.0,1.0,1.0,1.0,53.0,5450.0,1.0,0.0,0.0,5250.0,0.25,0.25,1.0,300.0,1.0,0.9999,0.0731028611028611,1.0,9.64671203342243,3500.0,1.0,0.0,0.0,1.0,LOHC - formic acid,reconditioning,separation,1.3602493402887925
